model,metric,mean,std,median
linear_regression,mae,0.025809693990901574,4.499665369183908e-05,0.025806441788222383
linear_regression,rmse,0.0404911358030104,0.00018160666931745067,0.04045376887571721
linear_regression,r2,0.9985332128087667,1.3480401413162002e-05,0.9985375867451103
linear_regression,train_time,0.3662222700000058,0.04255155936887682,0.34625195000000986
linear_regression,total_time,0.37303653000001497,0.04278416055152384,0.3539605000000279
random_forest,mae,0.011700792162199188,3.273540022668385e-05,0.011699740050479954
random_forest,rmse,0.0254495544695186,0.00018637704512523243,0.02539347216738789
random_forest,r2,0.9994205456237855,8.346652188437393e-06,0.9994212882758717
random_forest,train_time,77.68858843666662,0.7781012752941452,77.52665325000001
random_forest,total_time,77.69493583333332,0.7780668113515034,77.53299274999998
